Flag	Source	Filename	Type	TSC Event	TSC Command	Entity Index	Entity Type	Entity Name	Entity Bits	Entity Oversight Warning
4006	TSC	ArmsItem.tsc	Read	#9009	<FLJ					
4007	TSC	ArmsItem.tsc	Read	#9009	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9010	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9010	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9011	<FLJ					
4004	TSC	ArmsItem.tsc	Read	#9014	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9014	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9014	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9015	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9015	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9016	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9019	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9019	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9020	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9023	<FLJ					
4004	TSC	ArmsItem.tsc	Read	#9026	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9026	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9026	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9027	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9027	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9028	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9031	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9031	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9032	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9035	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9038	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9038	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9039	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9041	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9044	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9048	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9048	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9049	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9051	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9054	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9058	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9062	<FLJ					
6000	TSC	ArmsItem.tsc	Read	#9100	<FLJ					
6003	TSC	ArmsItem.tsc	Read	#9100	<FLJ					
6003	TSC	Credit.tsc	Read	N/A	<FLJ					
2000	TSC	Credit.tsc	Read	N/A	<FLJ					
2000	TSC	Credit.tsc	Read	0100	<FLJ					
2000	TSC	Credit.tsc	Read	0200	<FLJ					
2000	TSC	Credit.tsc	Read	0400	<FLJ					
4001	TSC	Credit.tsc	Read	1000	<FLJ					
4002	TSC	Credit.tsc	Read	1000	<FLJ					
4003	TSC	Credit.tsc	Read	1000	<FLJ					
4004	TSC	Credit.tsc	Read	1000	<FLJ					
4005	TSC	Credit.tsc	Read	1000	<FLJ					
4006	TSC	Credit.tsc	Read	1000	<FLJ					
4007	TSC	Credit.tsc	Read	1000	<FLJ					
4002	TSC	Credit.tsc	Read	1001	<FLJ					
4003	TSC	Credit.tsc	Read	1001	<FLJ					
4004	TSC	Credit.tsc	Read	1001	<FLJ					
4005	TSC	Credit.tsc	Read	1001	<FLJ					
4006	TSC	Credit.tsc	Read	1001	<FLJ					
4007	TSC	Credit.tsc	Read	1001	<FLJ					
4003	TSC	Credit.tsc	Read	1002	<FLJ					
4004	TSC	Credit.tsc	Read	1002	<FLJ					
4005	TSC	Credit.tsc	Read	1002	<FLJ					
4006	TSC	Credit.tsc	Read	1002	<FLJ					
4007	TSC	Credit.tsc	Read	1002	<FLJ					
4004	TSC	Credit.tsc	Read	1003	<FLJ					
4005	TSC	Credit.tsc	Read	1003	<FLJ					
4006	TSC	Credit.tsc	Read	1003	<FLJ					
4007	TSC	Credit.tsc	Read	1003	<FLJ					
4005	TSC	Credit.tsc	Read	1004	<FLJ					
4006	TSC	Credit.tsc	Read	1004	<FLJ					
4006	TSC	Credit.tsc	Read	1005	<FLJ					
4003	TSC	Credit.tsc	Read	1008	<FLJ					
4004	TSC	Credit.tsc	Read	1008	<FLJ					
4005	TSC	Credit.tsc	Read	1008	<FLJ					
4006	TSC	Credit.tsc	Read	1008	<FLJ					
4007	TSC	Credit.tsc	Read	1008	<FLJ					
4004	TSC	Credit.tsc	Read	1009	<FLJ					
4005	TSC	Credit.tsc	Read	1009	<FLJ					
4006	TSC	Credit.tsc	Read	1009	<FLJ					
4007	TSC	Credit.tsc	Read	1009	<FLJ					
4005	TSC	Credit.tsc	Read	1010	<FLJ					
4006	TSC	Credit.tsc	Read	1010	<FLJ					
4006	TSC	Credit.tsc	Read	1011	<FLJ					
4004	TSC	Credit.tsc	Read	1014	<FLJ					
4005	TSC	Credit.tsc	Read	1014	<FLJ					
4006	TSC	Credit.tsc	Read	1014	<FLJ					
4005	TSC	Credit.tsc	Read	1015	<FLJ					
4006	TSC	Credit.tsc	Read	1015	<FLJ					
4006	TSC	Credit.tsc	Read	1016	<FLJ					
4005	TSC	Credit.tsc	Read	1019	<FLJ					
4006	TSC	Credit.tsc	Read	1019	<FLJ					
4006	TSC	Credit.tsc	Read	1020	<FLJ					
4006	TSC	Credit.tsc	Read	1023	<FLJ					
4004	TSC	Credit.tsc	Read	1026	<FLJ					
4005	TSC	Credit.tsc	Read	1026	<FLJ					
4006	TSC	Credit.tsc	Read	1026	<FLJ					
4005	TSC	Credit.tsc	Read	1027	<FLJ					
4006	TSC	Credit.tsc	Read	1027	<FLJ					
4006	TSC	Credit.tsc	Read	1028	<FLJ					
4005	TSC	Credit.tsc	Read	1031	<FLJ					
4006	TSC	Credit.tsc	Read	1031	<FLJ					
4006	TSC	Credit.tsc	Read	1032	<FLJ					
4006	TSC	Credit.tsc	Read	1035	<FLJ					
4005	TSC	Credit.tsc	Read	1038	<FLJ					
4006	TSC	Credit.tsc	Read	1038	<FLJ					
4006	TSC	Credit.tsc	Read	1039	<FLJ					
4006	TSC	Credit.tsc	Read	1041	<FLJ					
4006	TSC	Credit.tsc	Read	1044	<FLJ					
4005	TSC	Credit.tsc	Read	1048	<FLJ					
4006	TSC	Credit.tsc	Read	1048	<FLJ					
4006	TSC	Credit.tsc	Read	1049	<FLJ					
4006	TSC	Credit.tsc	Read	1051	<FLJ					
4006	TSC	Credit.tsc	Read	1054	<FLJ					
4006	TSC	Credit.tsc	Read	1058	<FLJ					
4006	TSC	Credit.tsc	Read	1062	<FLJ					
4001	TSC	Credit.tsc	Read	2000	<FLJ					
4002	TSC	Credit.tsc	Read	2000	<FLJ					
4003	TSC	Credit.tsc	Read	2000	<FLJ					
4004	TSC	Credit.tsc	Read	2000	<FLJ					
4005	TSC	Credit.tsc	Read	2000	<FLJ					
4006	TSC	Credit.tsc	Read	2000	<FLJ					
4007	TSC	Credit.tsc	Read	2000	<FLJ					
4002	TSC	Credit.tsc	Read	2001	<FLJ					
4003	TSC	Credit.tsc	Read	2001	<FLJ					
4004	TSC	Credit.tsc	Read	2001	<FLJ					
4005	TSC	Credit.tsc	Read	2001	<FLJ					
4006	TSC	Credit.tsc	Read	2001	<FLJ					
4007	TSC	Credit.tsc	Read	2001	<FLJ					
4003	TSC	Credit.tsc	Read	2002	<FLJ					
4004	TSC	Credit.tsc	Read	2002	<FLJ					
4005	TSC	Credit.tsc	Read	2002	<FLJ					
4006	TSC	Credit.tsc	Read	2002	<FLJ					
4007	TSC	Credit.tsc	Read	2002	<FLJ					
4004	TSC	Credit.tsc	Read	2003	<FLJ					
4005	TSC	Credit.tsc	Read	2003	<FLJ					
4006	TSC	Credit.tsc	Read	2003	<FLJ					
4007	TSC	Credit.tsc	Read	2003	<FLJ					
4005	TSC	Credit.tsc	Read	2004	<FLJ					
4006	TSC	Credit.tsc	Read	2004	<FLJ					
4006	TSC	Credit.tsc	Read	2005	<FLJ					
4003	TSC	Credit.tsc	Read	2008	<FLJ					
4004	TSC	Credit.tsc	Read	2008	<FLJ					
4005	TSC	Credit.tsc	Read	2008	<FLJ					
4006	TSC	Credit.tsc	Read	2008	<FLJ					
4007	TSC	Credit.tsc	Read	2008	<FLJ					
4004	TSC	Credit.tsc	Read	2009	<FLJ					
4005	TSC	Credit.tsc	Read	2009	<FLJ					
4006	TSC	Credit.tsc	Read	2009	<FLJ					
4007	TSC	Credit.tsc	Read	2009	<FLJ					
4005	TSC	Credit.tsc	Read	2010	<FLJ					
4006	TSC	Credit.tsc	Read	2010	<FLJ					
4006	TSC	Credit.tsc	Read	2011	<FLJ					
4004	TSC	Credit.tsc	Read	2014	<FLJ					
4005	TSC	Credit.tsc	Read	2014	<FLJ					
4006	TSC	Credit.tsc	Read	2014	<FLJ					
4005	TSC	Credit.tsc	Read	2015	<FLJ					
4006	TSC	Credit.tsc	Read	2015	<FLJ					
4006	TSC	Credit.tsc	Read	2016	<FLJ					
4005	TSC	Credit.tsc	Read	2019	<FLJ					
4006	TSC	Credit.tsc	Read	2019	<FLJ					
4006	TSC	Credit.tsc	Read	2020	<FLJ					
4006	TSC	Credit.tsc	Read	2023	<FLJ					
4004	TSC	Credit.tsc	Read	2026	<FLJ					
4005	TSC	Credit.tsc	Read	2026	<FLJ					
4006	TSC	Credit.tsc	Read	2026	<FLJ					
4005	TSC	Credit.tsc	Read	2027	<FLJ					
4006	TSC	Credit.tsc	Read	2027	<FLJ					
4006	TSC	Credit.tsc	Read	2028	<FLJ					
4005	TSC	Credit.tsc	Read	2031	<FLJ					
4006	TSC	Credit.tsc	Read	2031	<FLJ					
4006	TSC	Credit.tsc	Read	2032	<FLJ					
4006	TSC	Credit.tsc	Read	2035	<FLJ					
4005	TSC	Credit.tsc	Read	2038	<FLJ					
4006	TSC	Credit.tsc	Read	2038	<FLJ					
4006	TSC	Credit.tsc	Read	2039	<FLJ					
4006	TSC	Credit.tsc	Read	2041	<FLJ					
4006	TSC	Credit.tsc	Read	2044	<FLJ					
4005	TSC	Credit.tsc	Read	2048	<FLJ					
4006	TSC	Credit.tsc	Read	2048	<FLJ					
4006	TSC	Credit.tsc	Read	2049	<FLJ					
4006	TSC	Credit.tsc	Read	2051	<FLJ					
4006	TSC	Credit.tsc	Read	2054	<FLJ					
4006	TSC	Credit.tsc	Read	2058	<FLJ					
4006	TSC	Credit.tsc	Read	2062	<FLJ					
4021	TSC	Credit.tsc	Read	2100	<FLJ					
4022	TSC	Credit.tsc	Read	2100	<FLJ					
4023	TSC	Credit.tsc	Read	2100	<FLJ					
4024	TSC	Credit.tsc	Read	2100	<FLJ					
4025	TSC	Credit.tsc	Read	2100	<FLJ					
4026	TSC	Credit.tsc	Read	2100	<FLJ					
4027	TSC	Credit.tsc	Read	2100	<FLJ					
4022	TSC	Credit.tsc	Read	2101	<FLJ					
4023	TSC	Credit.tsc	Read	2101	<FLJ					
4024	TSC	Credit.tsc	Read	2101	<FLJ					
4025	TSC	Credit.tsc	Read	2101	<FLJ					
4026	TSC	Credit.tsc	Read	2101	<FLJ					
4027	TSC	Credit.tsc	Read	2101	<FLJ					
4023	TSC	Credit.tsc	Read	2102	<FLJ					
4024	TSC	Credit.tsc	Read	2102	<FLJ					
4025	TSC	Credit.tsc	Read	2102	<FLJ					
4026	TSC	Credit.tsc	Read	2102	<FLJ					
4027	TSC	Credit.tsc	Read	2102	<FLJ					
4024	TSC	Credit.tsc	Read	2103	<FLJ					
4025	TSC	Credit.tsc	Read	2103	<FLJ					
4026	TSC	Credit.tsc	Read	2103	<FLJ					
4027	TSC	Credit.tsc	Read	2103	<FLJ					
4025	TSC	Credit.tsc	Read	2104	<FLJ					
4026	TSC	Credit.tsc	Read	2104	<FLJ					
4027	TSC	Credit.tsc	Read	2104	<FLJ					
4026	TSC	Credit.tsc	Read	2105	<FLJ					
4027	TSC	Credit.tsc	Read	2105	<FLJ					
4027	TSC	Credit.tsc	Read	2106	<FLJ					
4023	TSC	Credit.tsc	Read	2108	<FLJ					
4024	TSC	Credit.tsc	Read	2108	<FLJ					
4025	TSC	Credit.tsc	Read	2108	<FLJ					
4026	TSC	Credit.tsc	Read	2108	<FLJ					
4027	TSC	Credit.tsc	Read	2108	<FLJ					
4024	TSC	Credit.tsc	Read	2109	<FLJ					
4025	TSC	Credit.tsc	Read	2109	<FLJ					
4026	TSC	Credit.tsc	Read	2109	<FLJ					
4027	TSC	Credit.tsc	Read	2109	<FLJ					
4025	TSC	Credit.tsc	Read	2110	<FLJ					
4026	TSC	Credit.tsc	Read	2110	<FLJ					
4027	TSC	Credit.tsc	Read	2110	<FLJ					
4026	TSC	Credit.tsc	Read	2111	<FLJ					
4027	TSC	Credit.tsc	Read	2111	<FLJ					
4027	TSC	Credit.tsc	Read	2112	<FLJ					
4024	TSC	Credit.tsc	Read	2114	<FLJ					
4025	TSC	Credit.tsc	Read	2114	<FLJ					
4026	TSC	Credit.tsc	Read	2114	<FLJ					
4027	TSC	Credit.tsc	Read	2114	<FLJ					
4025	TSC	Credit.tsc	Read	2115	<FLJ					
4026	TSC	Credit.tsc	Read	2115	<FLJ					
4027	TSC	Credit.tsc	Read	2115	<FLJ					
4026	TSC	Credit.tsc	Read	2116	<FLJ					
4027	TSC	Credit.tsc	Read	2116	<FLJ					
4027	TSC	Credit.tsc	Read	2117	<FLJ					
4025	TSC	Credit.tsc	Read	2119	<FLJ					
4026	TSC	Credit.tsc	Read	2119	<FLJ					
4027	TSC	Credit.tsc	Read	2119	<FLJ					
4026	TSC	Credit.tsc	Read	2120	<FLJ					
4027	TSC	Credit.tsc	Read	2120	<FLJ					
4027	TSC	Credit.tsc	Read	2121	<FLJ					
4026	TSC	Credit.tsc	Read	2123	<FLJ					
4027	TSC	Credit.tsc	Read	2123	<FLJ					
4027	TSC	Credit.tsc	Read	2124	<FLJ					
4027	TSC	Credit.tsc	Read	2125	<FLJ					
4024	TSC	Credit.tsc	Read	2126	<FLJ					
4025	TSC	Credit.tsc	Read	2126	<FLJ					
4026	TSC	Credit.tsc	Read	2126	<FLJ					
4027	TSC	Credit.tsc	Read	2126	<FLJ					
4025	TSC	Credit.tsc	Read	2127	<FLJ					
4026	TSC	Credit.tsc	Read	2127	<FLJ					
4027	TSC	Credit.tsc	Read	2127	<FLJ					
4026	TSC	Credit.tsc	Read	2128	<FLJ					
4027	TSC	Credit.tsc	Read	2128	<FLJ					
4027	TSC	Credit.tsc	Read	2129	<FLJ					
4025	TSC	Credit.tsc	Read	2131	<FLJ					
4026	TSC	Credit.tsc	Read	2131	<FLJ					
4027	TSC	Credit.tsc	Read	2131	<FLJ					
4026	TSC	Credit.tsc	Read	2132	<FLJ					
4027	TSC	Credit.tsc	Read	2132	<FLJ					
4027	TSC	Credit.tsc	Read	2133	<FLJ					
4026	TSC	Credit.tsc	Read	2135	<FLJ					
4027	TSC	Credit.tsc	Read	2135	<FLJ					
4027	TSC	Credit.tsc	Read	2136	<FLJ					
4027	TSC	Credit.tsc	Read	2137	<FLJ					
4025	TSC	Credit.tsc	Read	2138	<FLJ					
4026	TSC	Credit.tsc	Read	2138	<FLJ					
4027	TSC	Credit.tsc	Read	2138	<FLJ					
4026	TSC	Credit.tsc	Read	2139	<FLJ					
4027	TSC	Credit.tsc	Read	2139	<FLJ					
4027	TSC	Credit.tsc	Read	2140	<FLJ					
4026	TSC	Credit.tsc	Read	2141	<FLJ					
4027	TSC	Credit.tsc	Read	2141	<FLJ					
4027	TSC	Credit.tsc	Read	2142	<FLJ					
4027	TSC	Credit.tsc	Read	2143	<FLJ					
4026	TSC	Credit.tsc	Read	2144	<FLJ					
4027	TSC	Credit.tsc	Read	2144	<FLJ					
4027	TSC	Credit.tsc	Read	2145	<FLJ					
4027	TSC	Credit.tsc	Read	2146	<FLJ					
4027	TSC	Credit.tsc	Read	2147	<FLJ					
4025	TSC	Credit.tsc	Read	2148	<FLJ					
4026	TSC	Credit.tsc	Read	2148	<FLJ					
4027	TSC	Credit.tsc	Read	2148	<FLJ					
4026	TSC	Credit.tsc	Read	2149	<FLJ					
4027	TSC	Credit.tsc	Read	2149	<FLJ					
4027	TSC	Credit.tsc	Read	2150	<FLJ					
4026	TSC	Credit.tsc	Read	2151	<FLJ					
4027	TSC	Credit.tsc	Read	2151	<FLJ					
4027	TSC	Credit.tsc	Read	2152	<FLJ					
4027	TSC	Credit.tsc	Read	2153	<FLJ					
4026	TSC	Credit.tsc	Read	2154	<FLJ					
4027	TSC	Credit.tsc	Read	2154	<FLJ					
4027	TSC	Credit.tsc	Read	2155	<FLJ					
4027	TSC	Credit.tsc	Read	2156	<FLJ					
4027	TSC	Credit.tsc	Read	2157	<FLJ					
4026	TSC	Credit.tsc	Read	2158	<FLJ					
4027	TSC	Credit.tsc	Read	2158	<FLJ					
4027	TSC	Credit.tsc	Read	2159	<FLJ					
4027	TSC	Credit.tsc	Read	2160	<FLJ					
4027	TSC	Credit.tsc	Read	2161	<FLJ					
4026	TSC	Credit.tsc	Read	2162	<FLJ					
4027	TSC	Credit.tsc	Read	2162	<FLJ					
4027	TSC	Credit.tsc	Read	2163	<FLJ					
4027	TSC	Credit.tsc	Read	2164	<FLJ					
4027	TSC	Credit.tsc	Read	2165	<FLJ					
4027	TSC	Credit.tsc	Read	2166	<FLJ					
4027	TSC	Credit.tsc	Read	2167	<FLJ					
4027	TSC	Credit.tsc	Read	2168	<FLJ					
4027	TSC	Credit.tsc	Read	2169	<FLJ					
7100	TSC	Credit.tsc	Read	3000	<FLJ					
7103	TSC	Credit.tsc	Read	3100	<FLJ					
5005	TSC	Credit.tsc	Read	3200	<FLJ					
5004	TSC	Credit.tsc	Read	3200	<FLJ					
5003	TSC	Credit.tsc	Read	3200	<FLJ					
5002	TSC	Credit.tsc	Read	3200	<FLJ					
5001	TSC	Credit.tsc	Read	3200	<FLJ					
7121	TSC	Credit.tsc	Read	3400	<FLJ					
7116	TSC	Credit.tsc	Read	3400	<FLJ					
7101	TSC	Credit.tsc	Read	3500	<FLJ					
7001	TSC	Credit.tsc	Read	3600	<FLJ					
7000	TSC	Credit.tsc	Read	3600	<FLJ					
7009	TSC	Credit.tsc	Read	3700	<FLJ					
7008	TSC	Credit.tsc	Read	3700	<FLJ					
7005	TSC	Credit.tsc	Read	3800	<FLJ					
7004	TSC	Credit.tsc	Read	3900	<FLJ					
7102	TSC	Credit.tsc	Read	4000	<FLJ					
7105	TSC	Credit.tsc	Read	4100	<FLJ					
7113	TSC	Credit.tsc	Read	4200	<FLJ					
7128	TSC	Credit.tsc	Read	4300	<FLJ					
7122	TSC	Credit.tsc	Read	4400	<FLJ					
7003	TSC	Credit.tsc	Read	4700	<FLJ					
7006	TSC	Credit.tsc	Read	4800	<FLJ					
7007	TSC	Credit.tsc	Read	4900	<FLJ					
7107	TSC	Credit.tsc	Read	5000	<FLJ					
7106	TSC	Credit.tsc	Read	5100	<FLJ					
7124	TSC	Credit.tsc	Read	5200	<FLJ					
7131	TSC	Credit.tsc	Read	5300	<FLJ					
7119	TSC	Credit.tsc	Read	5400	<FLJ					
4011	TSC	Credit.tsc	Read	5700	<FLJ					
4012	TSC	Credit.tsc	Read	5700	<FLJ					
4013	TSC	Credit.tsc	Read	5700	<FLJ					
4014	TSC	Credit.tsc	Read	5700	<FLJ					
4015	TSC	Credit.tsc	Read	5700	<FLJ					
4016	TSC	Credit.tsc	Read	5700	<FLJ					
4012	TSC	Credit.tsc	Read	5701	<FLJ					
4013	TSC	Credit.tsc	Read	5701	<FLJ					
4014	TSC	Credit.tsc	Read	5701	<FLJ					
4015	TSC	Credit.tsc	Read	5701	<FLJ					
4016	TSC	Credit.tsc	Read	5701	<FLJ					
4013	TSC	Credit.tsc	Read	5702	<FLJ					
4014	TSC	Credit.tsc	Read	5702	<FLJ					
4015	TSC	Credit.tsc	Read	5702	<FLJ					
4016	TSC	Credit.tsc	Read	5702	<FLJ					
4014	TSC	Credit.tsc	Read	5703	<FLJ					
4015	TSC	Credit.tsc	Read	5703	<FLJ					
4016	TSC	Credit.tsc	Read	5703	<FLJ					
4015	TSC	Credit.tsc	Read	5704	<FLJ					
4016	TSC	Credit.tsc	Read	5704	<FLJ					
4016	TSC	Credit.tsc	Read	5705	<FLJ					
4013	TSC	Credit.tsc	Read	5708	<FLJ					
4014	TSC	Credit.tsc	Read	5708	<FLJ					
4015	TSC	Credit.tsc	Read	5708	<FLJ					
4016	TSC	Credit.tsc	Read	5708	<FLJ					
4014	TSC	Credit.tsc	Read	5709	<FLJ					
4015	TSC	Credit.tsc	Read	5709	<FLJ					
4016	TSC	Credit.tsc	Read	5709	<FLJ					
4015	TSC	Credit.tsc	Read	5710	<FLJ					
4016	TSC	Credit.tsc	Read	5710	<FLJ					
4016	TSC	Credit.tsc	Read	5711	<FLJ					
4014	TSC	Credit.tsc	Read	5714	<FLJ					
4015	TSC	Credit.tsc	Read	5714	<FLJ					
4016	TSC	Credit.tsc	Read	5714	<FLJ					
4015	TSC	Credit.tsc	Read	5715	<FLJ					
4016	TSC	Credit.tsc	Read	5715	<FLJ					
4016	TSC	Credit.tsc	Read	5716	<FLJ					
4015	TSC	Credit.tsc	Read	5719	<FLJ					
4016	TSC	Credit.tsc	Read	5719	<FLJ					
4016	TSC	Credit.tsc	Read	5720	<FLJ					
4014	TSC	Credit.tsc	Read	5726	<FLJ					
4015	TSC	Credit.tsc	Read	5726	<FLJ					
4016	TSC	Credit.tsc	Read	5726	<FLJ					
4015	TSC	Credit.tsc	Read	5727	<FLJ					
4016	TSC	Credit.tsc	Read	5727	<FLJ					
4016	TSC	Credit.tsc	Read	5728	<FLJ					
4015	TSC	Credit.tsc	Read	5731	<FLJ					
4016	TSC	Credit.tsc	Read	5731	<FLJ					
4016	TSC	Credit.tsc	Read	5732	<FLJ					
4015	TSC	Credit.tsc	Read	5738	<FLJ					
4016	TSC	Credit.tsc	Read	5738	<FLJ					
4016	TSC	Credit.tsc	Read	5739	<FLJ					
4015	TSC	Credit.tsc	Read	5748	<FLJ					
4016	TSC	Credit.tsc	Read	5748	<FLJ					
4016	TSC	Credit.tsc	Read	5749	<FLJ					
7108	TSC	Credit.tsc	Read	6000	<FLJ					
7109	TSC	Credit.tsc	Read	6100	<FLJ					
7125	TSC	Credit.tsc	Read	6200	<FLJ					
7132	TSC	Credit.tsc	Read	6300	<FLJ					
7118	TSC	Credit.tsc	Read	6400	<FLJ					
7135	TSC	Credit.tsc	Read	6500	<FLJ					
7009	TSC	Credit.tsc	Read	6600	<FLJ					
4035	TSC	Credit.tsc	Read	6700	<FLJ					
